Keyword,Intent,Volume,Trend,Keyword Difficulty,CPC (USD),Competitive Density,SERP Features,Number of Results
venison cube steak recipes,Informational,1000,"0.31,0.37,0.31,0.46,0.52,0.52,0.85,1.00,1.00,0.68,0.52,0.52",9,1.45,0.01,"Sitelinks, Video, People also ask, Recipes, Related searches",98
buffalo chicken dip recipe franks,Informational,880,"0.05,0.16,0.20,0.30,0.66,0.66,0.79,1.00,1.00,1.00,0.24,0.24",7,0.58,0.05,"Video, Recipes, Related searches",2320000
elk roast recipe,Informational,880,"0.24,0.24,0.37,0.30,0.44,0.62,1.00,0.81,0.81,0.44,0.44,0.37",10,1.06,0.01,"Sitelinks, AI Overview, Video, People also ask, Recipes, Related searches",104
recipes using gelatin,Informational,880,"0.20,0.25,0.37,0.25,0.20,0.13,0.46,0.52,1.00,0.52,0.84,1.00",9,0.56,0.27,"AI Overview, Video, Video carousel, People also ask, Recipes, Related searches",124
spicy ranch recipe,Informational,880,"0.67,0.67,0.76,0.76,0.55,0.55,0.67,0.67,1.00,0.67,0.67,0.76",9,0.59,0.03,"Video, People also ask, Recipes, Related searches",128
sqirl recipes,Informational,880,"0.00,0.29,0.01,0.03,0.29,1.00,0.05,0.03,0.03,0.03,0.05,0.01",4,0.52,0.02,"AI Overview, Video, Recipes, Related searches",101
tiger prawn recipe,Informational,880,"0.41,0.20,0.20,0.30,0.24,0.20,0.41,1.00,0.41,0.08,0.30,0.24",10,0.56,0.01,"AI Overview, Image, Image pack, Video, Video carousel, Short videos, People also ask, Recipes, Related searches",103
vodka press recipe,Informational,880,"1.00,0.76,1.00,0.67,0.55,0.67,0.55,0.76,0.76,0.67,0.67,0.55",9,0.86,0.04,"Image, Video, People also ask, Recipes, Related searches",13900000
anasazi beans recipe,Informational,720,"0.47,0.59,0.47,0.72,0.59,0.59,0.59,0.72,1.00,0.47,0.47,0.59",9,4.71,0.01,"Sitelinks, Image, Video, People also ask, Recipes, Related searches",49900
bourbon cream recipe,Informational,720,"0.19,0.15,0.19,0.19,0.15,0.24,0.54,1.00,0.41,0.19,0.19,0.13",8,0.79,0.09,"Sitelinks, AI Overview, Reviews, Video, Video carousel, People also ask, Recipes, Related searches",106
caramel corn recipe without corn syrup,Informational,720,"0.37,0.25,0.31,0.25,0.25,0.37,0.37,1.00,0.52,0.31,0.25,0.25",7,0.82,0.03,"Sitelinks, Video, People also ask, Recipes, Related searches",150
chocolate espresso martini recipe,Informational,720,"0.16,0.16,0.20,0.24,0.20,0.30,0.41,1.00,0.41,0.41,0.30,0.24",9,0.62,0.46,"Video, Video carousel, People also ask, Recipes, Related searches",136
french gimlet recipe,Informational,720,"0.88,0.72,0.72,0.88,0.59,0.72,1.00,1.00,0.88,0.72,0.88,1.00",8,0.52,0.17,"Sitelinks, AI Overview, Image, Video, People also ask, Recipes, Related searches",1790000
fresh ground flour bread recipe,Informational,720,"0.24,0.30,0.36,0.30,0.36,0.36,0.55,0.55,1.00,0.62,0.62,0.55",6,0.86,0.02,"Video, Video carousel, People also ask, Recipes, Related searches",106
grand marnier margarita recipe,Informational,720,"0.88,0.73,1.00,1.00,0.59,0.49,0.59,0.88,1.00,0.88,0.49,0.88",10,1.05,0.15,"AI Overview, Video, Video carousel, Short videos, People also ask, Recipes, Related searches",106
heath cake recipe,Informational,720,"0.30,0.30,0.24,0.36,0.55,0.67,1.00,1.00,0.55,0.55,0.67,0.67",5,0.65,0.01,"Image, Video, People also ask, Recipes, Related searches",107
mark hyman recipes,"Informational, Transactional",720,"0.88,0.71,0.88,0.71,0.71,0.88,0.60,0.48,1.00,0.71,0.60,0.60",8,0.65,0.08,"Video, Video carousel, Short videos, People also ask, Related searches",122
matcha martini recipe,Informational,720,"0.88,0.59,1.00,0.88,0.72,0.88,0.88,0.88,0.88,0.88,0.88,0.72",9,0.71,0.02,"AI Overview, Video, Short videos, People also ask, Recipes, Related searches",127
north korean recipes,Informational,720,"0.01,0.66,0.04,0.36,0.04,0.08,0.04,0.05,1.00,0.79,0.20,0.36",5,4.49,0.33,"Sitelinks, AI Overview, Image, Video, Video carousel, People also ask, Recipes, Related searches",93
one pot rice cooker recipes,Informational,720,"0.24,0.16,0.16,0.55,0.45,0.45,0.45,0.67,1.00,0.76,0.67,1.00",4,1.01,0.04,"Sitelinks, AI Overview, Video, Video carousel, Short videos, Recipes, Related searches",107
strawberry lemon drop martini cocktail recipe,Informational,720,"0.88,0.59,0.14,0.14,0.39,0.48,1.00,1.00,0.88,1.00,0.88,0.88",10,0.64,0.05,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Recipes, Related searches",124
autoimmune protocol diet recipes,Informational,590,"1.00,0.82,0.67,0.55,0.67,0.82,0.55,0.55,1.00,0.67,0.67,0.55",7,0.66,0.57,"Sitelinks, AI Overview, Video, Recipes, Related searches",137
boneless chicken wing recipe,Informational,590,"0.13,0.08,0.05,0.05,0.20,0.16,0.07,0.08,0.10,1.00,0.08,0.05",9,0.94,0.16,"Sitelinks, Video, Video carousel, People also ask, Recipes, Related searches",108
bourbon cream drink recipes,Informational,590,"0.13,0.16,0.13,0.20,0.13,0.20,0.37,1.00,0.52,0.20,0.16,0.13",9,0.79,0.09,"Sitelinks, AI Overview, Video, People also ask, Recipes, Related searches",127
canadian bacon recipes,Informational,590,"0.32,0.58,0.89,0.39,0.39,0.89,1.00,0.58,0.73,0.39,0.39,0.32",7,0.54,0.01,"Reviews, Image, Video, Video carousel, Short videos, People also ask, Recipes, Related searches",129
dried cherries recipes,Informational,590,"0.10,0.48,0.60,0.88,0.48,1.00,0.88,0.71,0.60,0.48,0.60,0.25",8,0.57,0.03,"Sitelinks, AI Overview, Video, People also ask, Recipes, Related searches",133
easy low fodmap recipes,Informational,590,"0.67,0.83,0.83,0.83,0.83,1.00,0.83,0.67,1.00,0.83,0.83,0.83",8,0.66,0.88,"Image, Video, Recipes, Discussions and forums, Related searches",196
elk backstrap recipe,Informational,590,"0.39,0.32,0.39,0.39,0.59,0.72,1.00,0.59,0.59,0.39,0.32,0.39",9,0.65,0.01,"Sitelinks, Video, Video carousel, Short videos, People also ask, Recipes, Related searches",101
elk backstrap recipes,Informational,590,"0.45,0.36,0.45,0.36,0.67,1.00,0.54,0.67,0.82,0.30,0.36,0.24",5,0.65,0.01,"Image, Video, Video carousel, Short videos, People also ask, Recipes, Related searches",185000
fresh milled flour recipes,Informational,590,"0.24,0.20,0.30,0.30,0.20,0.45,0.24,0.76,1.00,0.55,0.55,0.55",6,0.64,0.10,"Video, Video carousel, People also ask, Recipes, Related searches",125
glue goop recipe,Informational,590,"0.00,0.00,0.00,0.05,0.29,1.00,0.00,0.01,0.66,0.66,1.00,0.03",7,0.69,0.29,"AI Overview, Image, Video, Video carousel, People also ask, Recipes, Related searches",6160000
gluten free rice recipes,Informational,590,"0.48,0.39,0.48,1.00,0.72,0.72,0.72,0.88,0.88,0.48,0.59,0.59",8,0.54,0.04,"Sitelinks, Video, People also ask, Recipes, Related searches",105
ground turkey recipes for dogs,Informational,590,"0.16,0.08,0.37,0.20,0.31,0.52,0.31,0.25,0.52,0.68,0.68,1.00",6,0.74,0.46,"Video, People also ask, Recipes, Related searches",133
hot honey chicken sliders recipe,Informational,590,"0.05,0.10,0.08,0.13,0.16,0.16,0.13,0.10,0.10,0.27,0.44,1.00",10,0.70,0.01,"Reviews, Video, Video carousel, Short videos, Recipes, Related searches",103
italian macaron recipe,Informational,590,"0.83,0.67,0.67,0.67,0.56,0.56,0.67,1.00,0.67,0.67,1.00,0.67",6,0.59,0.01,"Sitelinks, Image, Video, Video carousel, People also ask, Recipes, Related searches",5560000
jalapeno ranch recipe,Informational,590,"0.48,0.48,0.72,0.59,0.72,0.59,0.59,0.72,0.88,0.72,1.00,0.72",5,0.56,0.08,"Sitelinks, Image, Video, Short videos, People also ask, Recipes, Related searches",102
low histamine diet recipes,Informational,590,"0.48,0.48,0.59,0.59,0.59,0.48,0.59,0.59,0.59,0.59,0.88,1.00",6,0.83,0.36,"Video, People also ask, Recipes, Related searches",134
margaritaville machine recipes,Informational,590,"1.00,1.00,1.00,0.68,0.29,0.29,0.19,0.24,0.19,0.19,0.29,0.29",4,0.81,0.11,"AI Overview, Video, Video carousel, People also ask, Recipes, Related searches",187
mezcal mule recipe,Informational,590,"0.59,0.48,0.48,0.48,0.32,0.48,0.72,1.00,0.72,0.59,0.72,0.59",8,0.83,0.16,"Sitelinks, AI Overview, Video, People also ask, Recipes, Related searches",131
olive oil recipes,Informational,590,"0.72,0.47,0.59,0.32,0.47,0.59,0.72,0.88,0.47,0.47,0.59,1.00",10,0.52,0.92,"AI Overview, Video, Video carousel, People also ask, Recipes",134
ono hawaiian bbq macaroni salad recipe,Informational,590,"1.00,0.67,0.45,0.67,0.45,0.54,0.67,0.45,0.67,0.67,0.82,1.00",7,0.66,0.02,"Sitelinks, Video, Video carousel, People also ask, Recipes, Related searches",106
pork cubed steak recipes,Informational,590,"0.32,0.88,0.88,0.47,0.47,0.47,0.47,0.47,0.59,1.00,0.47,0.39",10,0.60,0.02,"Sitelinks, Video, Video carousel, Short videos, People also ask, Recipes, Related searches",108
recipe 21 vodka,Informational,590,"0.54,0.67,1.00,0.67,0.67,0.67,0.54,0.67,0.67,0.67,0.67,0.81",4,0.67,0.44,"Sitelinks, AI Overview, Image, Video, People also ask, Related searches",178
recipes colombian food,Informational,590,"0.54,0.00,0.02,0.20,0.54,0.54,0.00,0.00,1.00,0.00,0.00,0.00",8,1.55,0.01,"AI Overview, Image, Video, Video carousel, People also ask, Recipes, Related searches",132
sara lee pound cake recipe,Informational,590,"0.80,0.80,0.80,0.67,0.44,0.53,0.67,0.67,1.00,0.80,1.00,1.00",3,0.86,0.02,"Video, Video carousel, People also ask, Recipes, Related searches",115
slow cooker fish recipes,Informational,590,"0.44,0.55,0.44,0.67,0.55,0.55,0.67,0.67,1.00,0.67,0.67,0.55",7,0.53,0.01,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Recipes, Related searches",120
sourdough dessert recipe,Informational,590,"0.55,0.44,0.44,0.44,0.44,0.44,0.44,0.67,1.00,0.82,1.00,0.67",6,0.75,0.01,"Sitelinks, AI Overview, Reviews, Video, Video carousel, Short videos, Recipes, Related searches",128
squid ink noodle recipe,Informational,590,"0.16,0.30,0.01,0.36,0.66,0.03,0.13,0.04,1.00,0.08,0.16,0.13",10,0.79,0.33,"Video, Video carousel, Short videos, People also ask, Recipes, Related searches",100
squirrel recipe,Informational,590,"0.30,0.25,0.25,0.11,0.30,1.00,1.00,0.45,0.36,0.30,0.77,0.30",7,0.54,0.01,"Sitelinks, AI Overview, Image, Video, People also ask, Recipes, Related searches",12400000
street corn chicken casserole recipe,Informational,590,"0.03,0.01,0.16,0.37,0.13,0.25,1.00,0.46,0.68,0.31,0.20,0.16",7,0.73,0.01,"Video, Video carousel, Recipes, Related searches",103
vanilla iced coffee recipe,Informational,590,"1.00,1.00,1.00,1.00,0.65,0.65,0.65,0.44,0.55,0.44,0.44,0.65",6,0.52,0.16,"Sitelinks, Image, Video, Video carousel, Short videos, People also ask, Recipes, Related searches",43300000
venison cubed steak recipe,Informational,590,"0.30,0.16,0.20,0.30,0.36,0.45,0.45,0.55,1.00,0.36,0.55,0.30",9,0.76,0.01,"Sitelinks, AI Overview, Video, Video carousel, Short videos, People also ask, Recipes, Related searches",104
