Keyword,Intent,Volume,Trend,Keyword Difficulty,CPC (USD),Competitive Density,SERP Features,Number of Results
sourdough batard bread,Informational,170,"0.66,1.00,1.00,0.66,0.35,0.07,0.05,0.05,0.43,0.02,0.66,0.00",5,0.00,0.09,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Recipes, Related searches",106
bake with jack sourdough,"Informational, Transactional",210,"0.41,0.52,0.64,0.64,0.80,0.80,0.80,0.80,1.00,0.80,0.64,0.52",3,0.00,0.00,"Image, Video, People also ask, Related searches",107
overnight sourdough recipes,Informational,720,"0.56,0.37,0.44,0.44,0.44,0.56,0.68,0.68,1.00,0.56,0.56,0.56",5,0.00,0.00,"Sitelinks, Video, Recipes, Related searches",107
reheating sourdough bread,Informational,210,"0.35,0.28,0.35,0.35,0.43,0.43,1.00,0.82,1.00,0.53,0.53,0.66",4,0.00,0.33,"Sitelinks, AI Overview, Video, Video carousel, Short videos, People also ask, Related searches",107
sourdough crumpet recipe,Informational,320,"0.67,0.54,0.54,0.67,0.54,0.81,0.67,0.67,1.00,1.00,0.81,0.67",5,0.03,0.01,"Sitelinks, Video, Video carousel, Recipes, Related searches",107
sourdough sub rolls recipe,Informational,170,"0.12,0.28,0.28,0.43,0.28,0.43,0.43,0.53,0.82,1.00,0.82,0.66",2,0.00,0.33,"Sitelinks, Reviews, Video, Video carousel, Recipes, Related searches",107
lazy girl sourdough,Informational,210,"0.65,0.65,0.80,0.65,0.52,0.52,0.80,0.65,1.00,0.52,0.65,0.65",4,0.00,0.00,"Sitelinks, Image, Video, Video carousel, Recipes, Related searches",108
reheat sourdough loaf,Informational,260,"0.43,0.36,0.36,0.43,0.36,0.43,1.00,1.00,0.81,0.43,0.36,0.43",2,0.00,0.33,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Related searches",108
reheating sourdough loaf,Informational,170,"0.65,0.43,0.52,0.33,0.43,0.52,1.00,0.28,1.00,0.43,0.33,0.52",2,0.00,0.33,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Related searches",108
einkorn sourdough recipe,Informational,320,"0.44,0.28,0.44,0.54,0.35,0.44,0.35,0.66,1.00,0.66,0.66,0.44",4,0.84,0.06,"Sitelinks, Video, Recipes, Related searches",109
sourdough crumpets recipe,Informational,390,"0.55,0.67,0.55,0.82,0.67,0.82,0.82,0.67,1.00,1.00,0.55,0.67",5,0.03,0.01,"Sitelinks, Video, Video carousel, Recipes, Related searches",109
sourdough mac and cheese,Informational,210,"0.54,0.29,0.35,0.29,0.22,0.29,1.00,0.54,0.54,0.43,0.22,0.29",4,0.00,0.33,"Sitelinks, Image, Image pack, Video, People also ask, Recipes, Related searches",109
reheat sourdough bread,Informational,260,"0.35,0.35,0.43,0.43,0.53,0.53,1.00,0.82,1.00,0.66,0.66,0.66",0,0.00,0.33,"Sitelinks, AI Overview, Reviews, Video, Short videos, People also ask, Related searches",110
lemon blueberry sourdough scones,Informational,260,"0.82,0.66,0.53,0.82,0.35,0.35,0.35,0.43,0.66,0.66,1.00,1.00",5,0.00,0.33,"Sitelinks, Image, Video, Video carousel, Recipes, Related searches",111
reheating frozen sourdough bread,Informational,320,"0.35,0.35,0.29,0.66,0.54,0.66,1.00,1.00,1.00,0.81,0.66,0.54",5,0.00,0.33,"Sitelinks, AI Overview, Reviews, Video, Video carousel, People also ask, Related searches",111
sourdough schedule pdf,Informational,170,"0.65,0.65,0.81,0.65,0.65,0.65,0.65,0.65,1.00,0.65,0.65,0.65",1,0.00,0.81,"Sitelinks, Image pack, Video, Related searches",112
sourdough potato,Informational,210,"1.00,0.53,0.23,0.35,0.35,0.43,0.82,0.35,0.53,0.43,0.82,0.53",5,0.00,0.12,"Sitelinks, AI Overview, Image, Video, Video carousel, Short videos, People also ask, Recipes, Related searches",113
sourdough discard pizza cast iron,Informational,170,"1.00,0.81,0.54,0.43,0.28,0.19,0.13,0.13,0.19,0.19,0.13,0.13",3,0.00,0.33,"Sitelinks, Video, Short videos, People also ask, Recipes, Discussions and forums, Related searches",114
sourdough turkey sandwich,Informational,210,"0.65,0.80,0.65,0.53,0.53,0.80,1.00,0.53,0.80,1.00,1.00,1.00",4,0.00,0.01,"Sitelinks, AI Overview, Image, Image pack, Video, Video carousel, Short videos, People also ask, Recipes, Related searches",114
how to toast sourdough bread in oven,Informational,260,"0.25,0.25,0.50,0.50,0.50,0.75,0.75,0.75,1.00,0.75,0.75,0.50",3,0.00,0.33,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Recipes, Related searches",115
slow fermented sourdough,Informational,390,"0.01,0.02,0.01,0.03,0.03,0.03,0.03,0.08,0.13,1.00,0.24,0.65",5,0.56,0.73,"Sitelinks, AI Overview, Reviews, Video, Video carousel, People also ask, Recipes, Discussions and forums, Related searches",115
milk in sourdough bread,Informational,170,"1.00,0.43,0.15,0.34,0.43,0.43,0.53,0.28,0.53,0.53,1.00,0.65",3,0.00,0.33,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Recipes, Related searches",116
what to do with stale sourdough bread,Informational,210,"0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,1.00,0.77,0.54,0.54",4,0.03,0.10,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Related searches",116
how to bake mini sourdough loaves,Informational,170,"0.28,0.23,0.23,0.28,0.35,0.43,0.66,1.00,0.43,0.35,0.28,0.23",2,0.00,0.01,"Sitelinks, AI Overview, Video, Video carousel, Short videos, People also ask, Recipes, Related searches",117
how to make sourdough bread without a dutch oven,Informational,170,"0.53,0.34,0.42,0.53,0.53,0.53,0.80,0.65,1.00,0.80,0.65,0.53",5,0.00,0.02,"Sitelinks, AI Overview, Video, Video carousel, Short videos, People also ask, Recipes, Related searches",117
sourdough discard peach cobbler,Informational,260,"0.29,0.54,0.81,1.00,0.36,0.12,0.09,0.06,0.09,0.09,0.12,0.12",5,0.00,0.00,"Sitelinks, Video, Recipes, Related searches",117
best salt for sourdough bread,Informational,210,"0.11,0.11,0.11,0.18,0.18,0.35,0.44,0.54,1.00,0.66,0.66,0.44",5,0.53,0.44,"Sitelinks, AI Overview, Video, Video carousel, Short videos, People also ask, Related searches, Popular products",118
when to score sourdough,Informational,170,"0.42,0.42,0.42,0.35,0.42,0.53,0.65,0.80,1.00,0.80,0.80,0.65",3,0.00,0.00,"Sitelinks, AI Overview, Video, Video carousel, Short videos, People also ask, Related searches",118
french bread sourdough recipe,Informational,320,"0.15,0.12,0.15,0.15,0.19,0.36,0.29,0.54,1.00,0.81,1.00,0.66",5,0.08,0.01,"Sitelinks, Video, Video carousel, Recipes, Related searches",119
sourdough discard zucchini muffins,Informational,170,"0.23,0.43,1.00,1.00,0.53,0.28,0.17,0.10,0.23,0.23,0.17,0.12",3,0.00,0.00,"Sitelinks, Video, Recipes, Related searches",119
christmas sourdough recipes,Informational,170,"0.01,0.01,0.02,0.02,0.05,0.10,0.36,1.00,0.01,0.01,0.01,0.01",3,0.00,0.33,"Sitelinks, Image, Video, Video carousel, Short videos, Recipes, Related searches",120
sourdough discard apple fritter bread,Informational,260,"0.65,0.33,0.33,0.53,1.00,1.00,0.82,0.65,0.65,0.82,0.53,0.44",3,0.00,0.00,"Sitelinks, Video, Recipes, Related searches",122
what is sourdough hooch,Informational,170,"1.00,0.81,0.43,0.53,0.53,0.53,0.66,0.66,1.00,0.66,0.53,0.66",3,0.06,0.04,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Related searches",122
sourdough vanilla cupcakes,Informational,210,"0.43,0.65,0.65,0.65,0.43,0.65,0.53,0.53,0.81,1.00,1.00,0.81",3,0.00,0.33,"Sitelinks, Image, Video, Video carousel, Recipes, Related searches",124
is sourdough bread good for acid reflux,Informational,170,"0.65,0.80,0.65,0.80,0.80,0.53,0.80,1.00,1.00,1.00,0.80,1.00",5,0.06,0.01,"Sitelinks, AI Overview, Video, People also ask, Discussions and forums, Related searches",125
sourdough bread proofing chart,Informational,260,"0.53,0.43,0.43,0.43,0.53,0.53,0.66,0.82,1.00,0.66,0.53,0.43",5,0.00,0.42,"Sitelinks, Image, Image pack, Video, People also ask, Related searches",125
cooking sourdough without dutch oven,Informational,170,"0.06,0.05,0.05,0.06,0.05,0.08,0.13,0.13,0.16,0.24,0.04,1.00",4,0.00,0.33,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Recipes, Related searches",126
sourdough bread how long does it last,Informational,1000,"0.80,0.66,0.01,0.24,0.00,0.00,0.80,0.00,0.66,1.00,0.00,0.00",2,0.03,0.01,"Sitelinks, AI Overview, Video, People also ask, Related searches",126
sourdough applesauce bread,Informational,170,"0.08,0.08,0.08,0.35,0.35,1.00,0.66,0.28,0.35,0.28,0.28,0.23",0,0.00,0.02,"Sitelinks, AI Overview, Video, Video carousel, Recipes, Related searches",127
sourdough baking schedule,Informational,260,"0.52,0.52,0.52,0.65,0.65,0.65,0.81,0.81,1.00,1.00,0.81,0.52",4,0.29,0.24,"Sitelinks, AI Overview, Video, Related searches",127
sourdough bread without starter recipe,Informational,390,"0.36,0.13,0.36,0.30,0.08,0.02,0.36,0.13,1.00,0.10,0.05,0.04",4,0.10,0.01,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Recipes, Related searches",127
sourdough discard dutch baby,Informational,390,"0.66,0.54,0.54,0.54,0.43,0.54,0.66,0.54,1.00,0.81,0.81,0.66",5,0.00,0.00,"Sitelinks, Image, Video, Recipes, Related searches",127
sourdough discard scallion pancakes,Informational,260,"0.82,0.66,0.66,0.66,0.53,0.66,0.66,0.66,1.00,0.66,1.00,0.53",3,0.00,0.33,"Sitelinks, Video, Recipes, Related searches",127
stand mixer sourdough,Informational,210,"0.53,0.53,0.53,0.35,0.43,0.35,0.43,0.66,1.00,0.53,0.35,0.43",5,0.00,0.07,"Sitelinks, Image, Video, Video carousel, People also ask, Recipes, Related searches",127
sourdough discard apple fritters,Informational,210,"0.34,0.34,0.28,0.43,1.00,1.00,0.65,0.34,0.52,0.52,0.43,0.43",3,0.00,0.00,"Sitelinks, Video, Recipes, Related searches",128
sourdough starter ratio calculator,Informational,170,"0.53,0.42,0.42,0.53,0.53,0.53,0.65,1.00,1.00,0.65,0.65,0.53",2,0.00,0.01,"Video, People also ask, Related searches",128
apple sourdough recipes,Informational,170,"0.08,0.08,0.10,0.29,1.00,1.00,0.43,0.22,0.18,0.18,0.18,0.14",5,0.00,0.33,"Sitelinks, Video, Video carousel, Short videos, People also ask, Recipes, Related searches",129
can i freeze sourdough dough,Informational,210,"0.80,0.53,0.53,0.80,0.65,0.65,1.00,0.80,1.00,0.80,0.80,0.80",4,0.00,0.01,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Discussions and forums, Related searches",129
lame for sourdough scoring,Informational,880,"0.10,0.03,0.07,0.13,0.04,0.07,0.36,0.29,1.00,0.16,0.03,0.03",4,0.29,0.49,"Sitelinks, AI Overview, Video, Video carousel, Short videos, People also ask, Related searches",129
roasted garlic and rosemary sourdough bread,Informational,170,"0.34,0.34,0.34,0.34,0.34,0.43,0.81,0.81,0.53,0.53,1.00,0.65",5,0.00,0.03,"Sitelinks, Image, Video, Video carousel, Short videos, People also ask, Recipes, Related searches",129
sourdough discard chocolate cupcakes,Informational,320,"0.28,0.44,0.35,0.54,0.54,0.54,0.66,0.54,1.00,1.00,0.81,0.66",5,0.00,0.33,"Sitelinks, Video, Recipes, Related searches",129
sourdough starter vs yeast,"Informational, Commercial",170,"0.53,0.42,0.42,0.42,0.53,0.65,0.80,1.00,1.00,0.65,0.65,0.53",3,0.00,0.09,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Related searches",129
sourdough score tool,Informational,210,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.76",4,0.39,1.00,"Sitelinks, AI Overview, Reviews, Video, Video carousel, Short videos, People also ask, Related searches",130
apple sourdough muffins,Informational,170,"0.09,0.12,0.12,0.19,0.44,1.00,0.23,0.09,0.15,0.12,0.12,0.12",4,0.00,0.33,"Reviews, Video, Video carousel, Recipes, Related searches",131
sourdough cornbread muffins,Informational,210,"0.28,0.23,0.17,0.28,0.43,0.82,0.82,0.53,1.00,0.53,0.35,0.28",2,0.00,0.00,"Sitelinks, Video, Video carousel, Recipes, Related searches",132
sourdough discard apple muffins,Informational,210,"0.15,0.11,0.08,0.23,0.66,1.00,0.54,0.23,0.28,0.28,0.18,0.15",2,0.00,0.00,"Sitelinks, Video, Recipes, Related searches",132
olive oil for sourdough bread,Informational,210,"0.18,0.22,0.14,0.22,0.43,0.54,1.00,0.43,0.43,0.29,0.54,0.43",4,0.00,0.03,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Recipes, Related searches",133
what to do with leftover sourdough bread,Informational,210,"0.80,0.65,0.65,0.80,0.80,0.80,1.00,1.00,1.00,1.00,0.65,0.80",5,0.03,0.05,"Sitelinks, AI Overview, Video, Video carousel, Short videos, People also ask, Related searches",133
pumpkin sourdough scones,Informational,390,"0.03,0.02,0.04,0.30,1.00,0.62,0.55,0.10,0.06,0.05,0.04,0.03",5,0.00,0.00,"Sitelinks, Image, Video, Recipes, Related searches",135
bread maker sourdough bread recipe,Informational,170,"0.44,0.54,0.23,0.44,0.28,0.05,0.35,0.18,1.00,0.18,0.08,0.18",5,0.14,0.20,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Recipes, Related searches",137
sourdough zucchini muffins,Informational,390,"0.21,0.32,1.00,1.00,0.59,0.26,0.17,0.11,0.17,0.17,0.17,0.14",4,0.00,0.33,"Sitelinks, Video, Recipes, Related searches",137
avocado toast with sourdough bread,Informational,170,"0.43,0.43,0.14,0.35,0.22,0.54,0.18,0.18,1.00,0.54,0.66,0.10",5,0.00,0.00,"AI Overview, Image, Video, Video carousel, Short videos, People also ask, Recipes, Related searches",138
how long to bake sourdough without dutch oven,Informational,210,"0.43,0.27,0.36,0.36,0.43,0.36,0.53,0.53,1.00,0.67,0.67,0.67",5,0.00,0.33,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Related searches",139
how to dry sourdough starter,Informational,590,"1.00,0.83,0.83,0.83,0.83,0.83,0.83,1.00,1.00,0.83,0.83,0.67",5,0.04,0.12,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Related searches",139
bread pudding with sourdough bread,Informational,260,"0.72,0.05,0.09,0.05,0.17,0.21,0.32,1.00,0.17,0.14,0.26,0.32",5,0.00,0.33,"Sitelinks, AI Overview, Image, Video, Video carousel, People also ask, Recipes, Related searches",141
sourdough bread starter with potato flakes,Informational,210,"0.10,0.04,0.35,1.00,0.54,0.35,0.43,0.43,1.00,0.66,0.29,0.18",4,0.00,0.11,"AI Overview, Image, Video, Video carousel, People also ask, Recipes, Related searches",141
sourdough bread with potato flakes,Informational,390,"0.82,0.42,0.82,0.67,0.82,1.00,1.00,0.82,1.00,0.82,1.00,0.67",5,0.00,0.01,"AI Overview, Image, Video, Video carousel, Recipes, Related searches",141
starter for sourdough bread with instant potatoes,Informational,320,"1.00,0.31,0.25,0.06,0.13,0.13,0.48,0.25,0.31,0.31,0.38,0.38",2,0.00,0.11,"AI Overview, Video, Video carousel, People also ask, Recipes, Related searches",141
breakfast ideas with sourdough bread,Informational,320,"0.66,0.44,0.44,0.54,0.44,0.54,0.54,0.54,0.81,0.66,1.00,0.81",5,0.00,0.02,"AI Overview, Image, Video, Video carousel, Short videos, People also ask, Recipes, Related searches",142
san francisco sourdough bread recipe,Informational,390,"0.54,0.54,0.81,0.67,0.54,0.81,0.81,0.81,1.00,0.81,0.81,0.67",4,0.21,0.11,"Sitelinks, Reviews, Video, People also ask, Recipes, Related searches",142
how to wrap sourdough as a gift,Informational,170,"0.19,0.09,0.06,0.09,0.09,0.09,0.19,1.00,0.23,0.19,0.05,0.05",4,0.56,0.08,"Sitelinks, AI Overview, Image, Image pack, Video, Video carousel, Short videos, People also ask, Related searches",143
sourdough starter smells like cheese,Informational,320,"0.43,0.43,0.54,0.54,0.66,0.66,0.81,0.54,1.00,0.54,0.66,0.54",4,0.00,0.33,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Related searches",144
how long does fresh sourdough bread last,Informational,480,"0.67,0.44,0.44,0.54,0.67,0.81,1.00,1.00,0.81,0.67,1.00,0.81",5,0.03,0.01,"Sitelinks, AI Overview, Video, People also ask, Related searches",145
how to thaw sourdough bread,Informational,260,"0.53,0.43,0.53,0.53,0.66,0.66,0.82,0.82,1.00,0.53,0.53,0.53",4,0.00,0.02,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Related searches",146
how long is sourdough bread good for in the fridge,Informational,170,"0.53,0.53,0.53,0.53,0.53,0.65,0.80,0.80,1.00,0.65,0.80,0.80",0,0.00,0.00,"Sitelinks, AI Overview, Video, People also ask, Related searches",147
how to make your sourdough more sour,Informational,210,"0.64,0.41,0.41,0.41,0.52,0.64,0.80,0.80,1.00,0.80,0.80,0.64",5,0.08,0.14,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Related searches",148
how long can you freeze sourdough bread,Informational,170,"0.66,0.66,0.80,0.66,0.80,1.00,1.00,0.80,0.66,0.80,0.33,0.52",5,0.03,0.01,"Sitelinks, AI Overview, Video, Short videos, People also ask, Related searches",151
sourdough not rising in oven,Informational,320,"0.66,0.66,0.66,0.66,0.53,0.43,0.82,0.82,1.00,1.00,0.53,0.43",5,0.06,0.09,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Related searches",151
can i bake sourdough without a dutch oven,Informational,210,"0.53,0.28,0.34,0.28,0.53,0.53,0.81,0.81,1.00,1.00,1.00,0.81",4,0.00,0.01,"Sitelinks, AI Overview, Video, Video carousel, Short videos, People also ask, Related searches",153
how long does it take for sourdough starter to rise,Informational,390,"0.44,0.44,0.36,0.44,0.13,0.13,0.82,0.67,1.00,0.67,0.24,0.19",5,0.03,0.04,"Sitelinks, AI Overview, Video, Short videos, People also ask, Related searches",155
how to keep sourdough starter warm,Informational,480,"0.24,0.20,0.12,0.20,0.24,0.59,0.88,0.73,1.00,0.59,0.32,0.20",4,0.33,0.79,"Sitelinks, AI Overview, Video, People also ask, Related searches",155
why won t my sourdough rise,Informational,210,"0.53,0.44,0.44,0.44,0.53,0.65,0.65,0.00,1.00,0.00,0.00,0.00",2,0.05,0.29,"Sitelinks, AI Overview, Video, Video carousel, Short videos, People also ask, Related searches, Ads bottom",155
can you make french toast with sourdough bread,Informational,720,"0.55,0.55,0.55,0.55,0.55,0.67,0.67,0.67,1.00,0.67,0.67,0.55",5,0.05,0.05,"AI Overview, Video, Video carousel, People also ask, Recipes, Discussions and forums, Related searches",156
how long does it take sourdough starter to rise,Informational,390,"0.36,0.29,0.36,0.15,0.44,0.54,0.66,0.66,1.00,0.66,0.23,0.29",5,0.03,0.06,"Sitelinks, AI Overview, Video, Short videos, People also ask, Related searches",156
does sourdough starter smell bad,Informational,170,"0.33,0.43,0.65,0.52,0.52,0.65,0.65,0.52,1.00,0.43,0.52,0.43",4,0.00,0.33,"Sitelinks, AI Overview, Video, Short videos, People also ask",157
someone gave me a sourdough starter now what,Informational,170,"0.26,0.11,0.18,0.35,0.42,0.42,1.00,0.80,0.65,0.65,1.00,0.65",4,0.02,0.19,"Sitelinks, AI Overview, Video, Video carousel, Short videos, People also ask, Related searches",157
sourdough bread crust too hard,Informational,170,"0.54,0.18,0.18,0.35,0.14,0.18,0.29,0.18,1.00,0.54,0.22,0.54",4,0.01,0.01,"Sitelinks, AI Overview, Image, Video, Video carousel, People also ask, Related searches",158
can you use sourdough bread for french toast,Informational,260,"0.50,0.50,0.70,0.50,0.50,0.40,0.80,1.00,0.80,0.50,0.70,0.70",5,0.02,0.02,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Recipes, Discussions and forums, Related searches",160
proofing sourdough,Informational,720,"0.77,0.37,0.37,0.06,0.37,0.56,0.56,0.68,1.00,0.44,0.56,0.44",5,0.09,0.09,"Sitelinks, AI Overview, Video, Video carousel, Short videos, People also ask, Discussions and forums, Related searches",160
san francisco style sourdough bread,Informational,590,"0.20,1.00,0.76,0.45,0.36,0.67,0.24,0.30,0.45,0.30,0.06,0.05",4,0.34,0.53,"Sitelinks, AI Overview, Image, Video, Video carousel, People also ask, Recipes, Related searches",160
honey wheat sourdough sandwich bread,Informational,260,"0.43,0.35,0.29,0.35,0.54,0.54,0.43,0.43,0.81,1.00,1.00,0.66",0,0.00,0.02,"Sitelinks, Image, Image pack, Video, Video carousel, Recipes, Related searches",162
hooch in sourdough starter,Informational,260,"0.18,0.22,0.13,0.29,0.22,0.13,0.18,0.80,0.80,1.00,0.18,0.13",5,0.12,0.05,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Related searches, Ads bottom",162
sourdough after bulk fermentation,Informational,210,"0.35,0.35,0.35,0.43,0.43,0.53,0.53,0.53,1.00,0.82,0.82,0.66",4,0.00,0.33,"Sitelinks, AI Overview, Video, Video carousel, Short videos, People also ask, Related searches",162
my sourdough bread isn't rising,Informational,210,"0.82,0.27,1.00,0.27,0.27,0.44,0.33,0.27,0.53,0.21,0.33,0.33",5,0.06,0.24,"Sitelinks, AI Overview, Image, Video, Video carousel, Short videos, People also ask, Related searches",163
sourdough cinnamon raisin bagels,Informational,210,"0.43,0.35,0.35,0.29,0.35,0.29,0.35,0.35,1.00,0.66,0.54,1.00",5,0.00,0.05,"Reviews, Image, Video, Video carousel, Recipes, Related searches",163
captain sourpants sourdough starter,"Informational, Transactional",210,"0.03,0.01,0.03,0.18,0.35,0.28,1.00,0.44,0.28,0.44,0.81,0.44",0,1.12,0.15,"Sitelinks, Image pack, Video, Video carousel, People also ask, Discussions and forums, Related searches",164
sourdough discard hoagie rolls,Informational,210,"0.81,0.65,0.65,0.53,0.53,0.43,0.43,0.53,1.00,0.65,0.65,0.65",5,0.00,0.00,"Sitelinks, Image, Video, Video carousel, Short videos, Recipes, Related searches",165
sourdough pumpkin cinnamon rolls,Informational,1000,"0.01,0.01,0.02,0.16,0.65,1.00,0.43,0.08,0.03,0.02,0.02,0.01",5,0.00,0.00,"Image, Video, Video carousel, Recipes, Related searches",165
gluten free flour for sourdough,Informational,170,"0.53,0.43,0.35,0.82,0.35,0.43,0.66,0.35,0.66,0.43,0.43,1.00",1,0.77,0.75,"Sitelinks, AI Overview, Video, People also ask, Recipes, Related searches, Popular products",166
hard sourdough pretzels,Informational,170,"0.34,0.43,0.34,1.00,1.00,0.81,0.34,0.53,0.03,0.09,0.03,0.21",5,0.65,0.93,"Sitelinks, Image, Video, Video carousel, People also ask, Recipes, Related searches, Popular products",166
how to keep sourdough starter warm in a cold house,Informational,170,"0.08,0.08,0.06,0.06,0.06,0.43,0.66,0.66,1.00,0.43,0.29,0.14",3,0.48,0.31,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Related searches",167
jalapeno cheddar sourdough bagels,Informational,170,"0.53,0.43,0.43,0.53,0.34,0.34,0.43,0.53,1.00,0.81,0.34,0.43",5,0.00,0.02,"Sitelinks, Reviews, Image, Image pack, Video, Video carousel, People also ask, Recipes, Related searches",167
sourdough ezekiel bread,Informational,260,"0.54,0.35,0.81,0.81,0.54,0.81,0.54,0.54,1.00,0.81,0.66,1.00",5,0.42,0.99,"Sitelinks, AI Overview, Image, Video, Video carousel, Short videos, People also ask, Recipes, Related searches",167
sweet sourdough starter,Informational,170,"0.66,0.53,0.43,0.53,0.81,0.81,1.00,0.81,1.00,0.81,1.00,0.66",5,0.00,0.06,"Sitelinks, AI Overview, Reviews, Image, Video, People also ask, Recipes, Related searches",167
