Keyword,Intent,Volume,Trend,Keyword Difficulty,CPC (USD),Competitive Density,SERP Features,Number of Results
dessert filipino food recipe,Informational,1000,"0.18,0.53,0.01,0.16,0.00,0.00,0.00,0.00,1.00,0.00,0.35,0.81",21,0.00,0.33,"Sitelinks, AI Overview, Image, Video, Video carousel, Recipes, Related searches",108
filipino food recipes soup,Informational,1000,"0.55,0.55,0.06,0.45,0.62,0.81,1.00,0.81,0.81,1.00,0.81,1.00",19,0.00,0.00,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Recipes, Related searches",111
famous recipe menu,Informational,880,"0.54,0.08,0.04,0.05,0.10,0.19,0.04,0.08,0.07,0.05,1.00,0.03",23,0.29,0.01,"Sitelinks, Image, Image pack, Video, People also ask, Related searches",261000000
filipino food pancit palabok recipe,Informational,880,"1.00,1.00,0.02,0.37,1.00,1.00,0.02,0.07,0.06,0.06,0.15,0.06",27,0.00,0.00,"Sitelinks, AI Overview, Image, Video, Video carousel, People also ask, Recipes, Related searches",896000
easy filipino dishes,Informational,720,"0.54,0.46,0.24,0.29,0.46,0.37,0.54,1.00,0.46,0.76,0.29,1.00",26,0.24,0.02,"Sitelinks, Image, Video, People also ask, Recipes, Related searches",61300000
filipino breakfast food recipes,Informational,720,"0.52,0.44,0.03,0.13,0.00,0.36,0.00,0.52,0.44,0.52,0.66,1.00",22,0.00,0.00,"Sitelinks, AI Overview, Image, Video, People also ask, Recipes, Related searches",10
filipino vegetable dish recipe,Informational,720,"1.00,0.55,0.36,0.10,0.45,0.81,0.81,0.13,0.06,0.08,0.06,0.08",16,0.47,0.01,"Image, Image pack, Video, People also ask, Recipes, Related searches",40500000
fish filipino food recipes,Informational,590,"0.59,1.00,0.17,0.17,0.48,0.59,0.72,0.59,0.88,0.72,0.88,1.00",17,0.00,0.00,"AI Overview, Image, Image pack, Video, Video carousel, Short videos, People also ask, Recipes, Related searches",93
fish recipe filipino food,Informational,590,"0.59,1.00,0.17,0.17,0.48,0.59,0.72,0.59,0.88,0.72,0.88,1.00",23,0.00,0.33,"AI Overview, Video, Video carousel, People also ask, Recipes, Related searches",106
philippines food traditions,Informational,480,"1.00,0.66,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.44,0.00,0.00",23,0.04,0.02,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Related searches",126
filipino food recipes arroz valenciana,Informational,390,"0.16,0.24,0.10,0.10,0.19,0.37,0.54,1.00,0.37,0.19,0.29,0.24",21,0.00,0.33,"Sitelinks, Video, Video carousel, Short videos, Knowledge panel, Recipes, Related searches",832000
vegetable filipino food recipes,Informational,390,"0.81,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",19,0.00,0.33,"AI Overview, Image, Video, Recipes, Related searches",109
authentic taste of the philippines,Informational,320,"0.54,0.54,0.28,0.23,0.35,0.44,0.44,0.23,0.15,1.00,1.00,1.00",26,0.00,0.02,"Image, Video, People also ask, Knowledge panel, Related searches",169
healthy filipino recipes,Informational,320,"1.00,0.82,0.66,0.82,0.82,0.43,0.82,0.66,0.53,0.82,0.82,0.53",22,0.00,0.02,"Sitelinks, Image, Video, Video carousel, Recipes, Discussions and forums, Related searches",62200000
filipino fish recipe,Informational,260,"0.19,0.54,0.54,0.28,0.81,0.67,0.43,0.22,0.22,1.00,0.28,0.43",23,0.00,0.00,"Image, Image pack, Video, Video carousel, Short videos, People also ask, Recipes, Related searches",46300000
filipino veggie recipes,Informational,260,"0.00,0.00,0.00,0.11,1.00,0.18,0.11,0.44,0.09,0.18,0.09,0.24",24,0.47,0.01,"Sitelinks, AI Overview, Image, Image pack, Video, Video carousel, Recipes, Related searches",14900000
fish recipes pinoy,Informational,260,"0.12,1.00,0.19,0.66,0.06,0.09,0.44,0.54,0.36,0.29,0.23,0.36",20,0.00,0.00,"Image, Image pack, Video, Video carousel, Recipes, Related searches",11900000
lutong pinoy recipe,Informational,260,"0.83,0.67,0.67,0.83,0.83,0.83,0.83,1.00,0.83,0.67,0.54,0.54",22,0.00,0.02,"AI Overview, Video, Video carousel, Short videos, Recipes, Related searches",102
filipino food recipes dessert,Informational,210,"1.00,0.44,0.07,1.00,0.03,0.01,0.00,0.00,0.15,0.00,0.19,0.10",23,0.22,0.01,"Sitelinks, AI Overview, Image pack, Video, Video carousel, People also ask, Recipes, Related searches",120
filipino recipes for dinner,Informational,210,"1.00,1.00,0.80,0.80,0.80,0.80,0.65,1.00,0.80,0.80,0.80,0.80",23,0.21,0.03,"Image, Video, Video carousel, People also ask, Recipes, Related searches",59800000
the kitchen recipes on repeat,Informational,210,"1.00,0.36,0.07,0.05,0.67,0.23,0.29,0.19,0.04,0.03,0.02,0.03",14,0.00,0.00,"AI Overview, Image, Video, Video carousel, People also ask, Recipes, Related searches",95
vegetable pinoy recipes,Informational,210,"0.00,0.55,0.00,0.00,1.00,0.05,0.01,0.20,0.16,0.00,0.00,0.30",23,0.00,0.00,"AI Overview, Image, Video, Video carousel, Short videos, People also ask, Recipes, Related searches",105
vegetables pinoy recipe,Informational,210,"0.00,0.55,0.00,0.00,1.00,0.05,0.01,0.20,0.16,0.00,0.00,0.30",28,0.00,0.00,"Image, Image pack, Video, Recipes, Related searches",21400000
easy recipes philippines,Informational,170,"0.67,0.00,0.17,0.17,0.28,0.22,1.00,0.03,0.08,0.28,0.14,0.28",29,0.45,0.02,"Sitelinks, AI Overview, Image, Video, Short videos, People also ask, Related searches",105
healthy recipes philippines,Informational,170,"0.34,0.65,0.53,0.43,0.34,0.43,0.65,0.81,0.53,0.81,0.81,1.00",22,0.00,0.02,"Sitelinks, AI Overview, Video, Video carousel, Recipes, Related searches",118
pinoy recipe vegetable,Informational,170,"0.00,0.00,0.00,0.00,1.00,0.05,0.01,0.20,0.16,0.00,0.00,0.30",20,0.00,0.00,"Image, Image pack, Video, Video carousel, People also ask, Recipes, Related searches",16000000
traditional food of the philippines,Informational,170,"0.05,1.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00",24,0.09,0.02,"Sitelinks, AI Overview, Video, Short videos, People also ask, Related searches",149
authentic filipino cuisine,Commercial,140,"0.80,0.80,1.00,0.42,0.52,0.42,1.00,0.33,0.33,1.00,0.66,1.00",21,0.00,0.04,"Sitelinks, Video, Video carousel, People also ask, Knowledge panel, Related searches",164
healthy filipino food recipes,Informational,140,"1.00,0.26,0.80,0.80,0.26,0.34,0.42,0.65,0.53,0.42,0.34,0.65",23,0.00,0.02,"Sitelinks, AI Overview, Image, Video, Video carousel, People also ask, Recipes, Related searches",119
filipino food recipe vegetables,Informational,110,"0.82,0.64,0.41,0.41,0.64,0.82,0.64,0.52,0.82,0.41,1.00,1.00",24,0.00,0.33,"AI Overview, Video, Video carousel, People also ask, Recipes, Related searches",107
food for the gods recipe filipino,Informational,110,"0.28,0.21,0.21,0.15,0.21,0.43,0.52,1.00,0.65,0.28,0.21,0.15",27,0.00,0.33,"Sitelinks, Video, Video carousel, People also ask, Recipes, Related searches",106
lasang pinoy recipe,Informational,110,"0.65,1.00,0.83,0.83,0.65,0.83,1.00,0.39,0.39,0.52,0.52,0.65",21,0.00,0.02,"Sitelinks, Video, Video carousel, Short videos, Recipes, Related searches",128
lutong pinoy recipe list,Informational,110,"0.64,0.64,0.64,0.64,0.64,1.00,0.64,0.64,0.50,0.50,0.35,0.35",23,0.00,0.01,"AI Overview, Image, Image pack, Video, Video carousel, People also ask, Related searches",1080000
authentic taste of the philippines menu,Informational,90,"0.02,1.00,0.17,0.28,0.05,0.05,0.05,0.05,0.05,0.28,0.28,0.05",24,0.00,0.33,"Reviews, Video, Knowledge panel, Related searches",107
chicken dishes recipe filipino,Informational,90,"0.11,1.00,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",26,0.74,0.01,"AI Overview, Video, Video carousel, Short videos, People also ask, Recipes, Related searches",107
chicken recipes panlasang pinoy,"Informational, Navigational",90,"0.11,0.24,0.83,1.00,0.83,0.65,0.83,0.53,0.65,0.24,0.24,0.18",21,0.00,0.00,"Image, Image pack, Video, People also ask, Recipes, Related searches",2820000
filipino food for the gods recipe,Informational,90,"0.26,0.26,0.26,0.19,0.26,0.42,0.65,1.00,0.80,0.26,0.26,0.19",7,0.00,0.00,"Sitelinks, Image, Video, Video carousel, People also ask, Recipes",2830000
filipino food gulay recipe,Informational,90,"0.82,0.64,0.41,0.41,0.64,0.82,0.64,0.52,0.82,0.41,1.00,1.00",20,0.00,0.01,"Sitelinks, Image, Image pack, Video, Video carousel, Short videos, People also ask, Related searches",3890000
filipino new year food traditions,Informational,90,"0.02,0.02,0.02,0.02,0.02,0.02,0.03,1.00,0.06,0.02,0.02,0.02",22,0.00,0.01,"Sitelinks, AI Overview, Image pack, Video, People also ask, Related searches",92
filipino potluck recipes,Informational,90,"0.64,0.78,0.64,0.35,1.00,0.50,0.78,1.00,0.64,0.50,0.35,0.50",29,0.00,0.02,"Sitelinks, AI Overview, Image, Video, Video carousel, Short videos, Related searches",106
filipino thanksgiving recipes,Informational,90,"0.02,0.02,0.02,0.02,0.02,0.02,0.02,1.00,0.04,0.02,0.00,0.02",12,0.00,0.33,"Sitelinks, AI Overview, Video, Video carousel, Recipes, Related searches",108
food of the gods recipe filipino,Informational,90,"0.40,0.40,0.40,0.28,0.40,0.64,1.00,0.64,0.81,0.40,0.28,0.28",24,0.00,0.33,"Sitelinks, AI Overview, Video, Video carousel, Short videos, People also ask, Recipes, Related searches",109
new year's eve filipino food traditions,Informational,90,"0.02,0.02,0.02,0.02,0.02,0.02,0.01,1.00,0.05,0.02,0.02,0.02",14,0.00,0.33,"Sitelinks, AI Overview, Image pack, Video, Video carousel, People also ask, Related searches",128
panlasang pinoy chicken recipes,"Informational, Transactional",90,"0.47,0.47,0.63,0.63,1.00,1.00,1.00,0.63,0.47,0.63,0.63,0.63",21,0.00,0.00,"Sitelinks, Image, Image pack, Video, Short videos, People also ask, Recipes, Related searches",1350000
panlasang pinoy recipe list,Informational,90,"0.81,0.64,0.81,0.81,1.00,1.00,0.81,0.81,0.64,0.64,0.45,0.45",29,0.00,0.01,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Recipes",108
pinoy panlasang recipe,"Informational, Navigational",90,"0.40,1.00,1.00,1.00,0.60,0.00,0.00,0.00,0.00,0.20,0.00,0.60",27,0.27,0.06,"Sitelinks, Image, Video, Short videos, People also ask, Recipes, Related searches",2160000
recipe for ukoy filipino food,Informational,90,"0.63,0.50,0.63,0.50,0.63,0.63,0.50,0.78,1.00,0.78,1.00,0.78",26,0.00,0.33,"AI Overview, Reviews, Video, Video carousel, Short videos, People also ask, Recipes, Related searches",132
traditional filipino breakfast food,Informational,90,"0.65,1.00,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,1.00,1.00",17,0.00,0.33,"Sitelinks, AI Overview, Image, Video, People also ask, Recipes, Related searches",131
ulam recipe,Informational,90,"0.41,0.53,1.00,0.41,0.18,0.65,0.83,0.53,0.29,1.00,1.00,0.65",27,0.00,0.00,"Sitelinks, AI Overview, Image, Video, Video carousel, People also ask, Recipes, Related searches",10600000
appetizer recipes in the philippines,Informational,70,"0.50,0.50,0.35,0.35,0.14,0.14,0.79,0.79,1.00,0.14,0.00,0.79",25,0.00,0.33,"Sitelinks, AI Overview, Video, Video carousel, Short videos, People also ask, Recipes, Discussions and forums, Related searches",110
filipino diet recipes,Informational,70,"1.00,1.00,1.00,1.00,0.71,0.59,0.71,0.71,1.00,0.71,0.71,0.29",24,0.00,0.05,"AI Overview, Video, Video carousel, People also ask, Recipes, Related searches",116
filipino food appetizer recipes,Informational,70,"0.50,0.35,0.35,0.14,0.14,0.78,0.78,1.00,0.14,0.14,0.78,0.78",21,0.00,0.02,"Sitelinks, Image, Image pack, Video, Short videos, People also ask, Recipes, Related searches",9880000
filipino traditional food new years eve,Informational,70,"0.03,0.03,0.03,0.03,0.03,0.03,0.03,1.00,0.08,0.03,0.03,0.03",9,0.00,0.33,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Discussions and forums, Related searches",123
pinoy cooking recipes,Informational,70,"0.64,0.45,0.64,0.64,0.82,1.00,0.82,0.45,1.00,0.64,0.45,0.64",29,0.00,0.33,"Sitelinks, Video, Video carousel, Short videos, Recipes, Related searches",108
pinoy easy ulam recipe,Informational,70,"1.00,1.00,1.00,1.00,0.71,1.00,1.00,1.00,1.00,0.71,1.00,0.57",23,0.00,0.01,"Sitelinks, AI Overview, Image, Video, Video carousel, Short videos, Recipes, Related searches",5640000
pinoy grill authentic filipino street foods reviews,Commercial,70,"1.00,1.00,1.00,0.63,0.36,0.63,0.63,0.45,0.63,0.63,0.63,0.63",24,0.00,0.33,"AI Overview, Video, Knowledge panel, Discussions and forums, Related searches",82
pinoy lunch recipes,Informational,70,"0.50,1.00,0.50,0.50,0.35,0.50,0.64,0.64,0.64,0.64,0.50,0.50",26,0.00,0.02,"Sitelinks, Reviews, Image, Image pack, Video, People also ask, Recipes, Related searches",105
pork picadillo recipe panlasang pinoy,Informational,70,"0.14,0.14,0.78,0.14,0.14,0.14,0.78,0.78,1.00,0.64,0.50,0.50",29,0.00,0.33,"AI Overview, Video, People also ask, Recipes, Related searches",101
traditional christmas filipino food,Informational,70,"0.07,0.07,0.05,0.07,0.10,0.17,0.22,1.00,0.07,0.05,0.05,0.07",20,0.00,0.33,"Sitelinks, AI Overview, Video, Video carousel, Short videos, People also ask, Recipes, Related searches",113
traditional filipino christmas food,Informational,70,"0.03,0.03,0.03,0.03,0.07,0.13,0.20,1.00,0.03,0.03,0.03,0.03",28,1.18,0.01,"Sitelinks, AI Overview, Image, Video, Short videos, People also ask, Recipes, Related searches",26600000
traditional filipino new year's eve food,Informational,70,"0.03,0.03,0.03,0.03,0.03,0.03,0.00,1.00,0.08,0.03,0.03,0.03",23,0.00,0.33,"Sitelinks, AI Overview, Image, Video, Short videos, People also ask, Related searches",107
easy filipino dish,Informational,50,"0.11,0.17,0.17,0.17,0.29,0.23,0.52,0.65,0.52,0.52,0.52,1.00",28,0.24,0.02,"Sitelinks, AI Overview, Image, Video, Video carousel, People also ask, Recipes, Related searches",64600000
easy filipino ulam recipe,Informational,50,"1.00,1.00,1.00,0.71,0.71,1.00,1.00,1.00,1.00,0.71,1.00,0.57",17,0.00,0.01,"AI Overview, Image, Image pack, Video, Related searches",6700000
easy to prepare filipino meals,Informational,50,"0.18,1.00,0.18,0.18,1.00,0.18,1.00,0.18,0.63,0.63,0.18,1.00",26,0.00,0.02,"Sitelinks, AI Overview, Image, Video, Video carousel, People also ask, Recipes, Related searches",129
filipino street food recipes,Informational,50,"0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.42,1.00,0.26",25,0.00,0.33,"Sitelinks, AI Overview, Image, Video, Video carousel, People also ask, Recipes, Related searches",97
filipino ulam recipe,Informational,50,"1.00,0.18,0.18,0.18,1.00,0.18,0.36,0.63,0.63,0.18,0.18,0.63",25,0.00,0.33,"Sitelinks, Image, Video, Video carousel, Related searches",107
panlasang pinoy vegetable recipe,Informational,50,"0.70,1.00,1.00,0.70,1.00,1.00,1.00,0.28,0.28,0.28,0.28,0.28",16,0.00,0.33,"AI Overview, Video, Video carousel, Short videos, People also ask, Recipes, Related searches",102
philippines street food recipes,Informational,50,"0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.42,1.00",28,0.00,0.33,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Recipes, Related searches",103
pinoy cooking recipe,"Informational, Transactional",50,"0.36,0.21,0.36,0.36,0.13,0.13,0.13,0.13,1.00,0.13,0.13,0.13",20,0.00,0.33,"Sitelinks, Video, Video carousel, Related searches",102
pinoy street food recipe,Informational,50,"0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.42,1.00",23,0.00,0.33,"Sitelinks, AI Overview, Video, Video carousel, Short videos, Recipes, Related searches",87
pinoy street food recipes,Informational,50,"0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.42,1.00",24,0.00,0.33,"Sitelinks, AI Overview, Video, Video carousel, Recipes, Related searches",81
pinoy ulam recipe,Informational,50,"1.00,0.45,0.18,0.18,1.00,0.18,0.36,0.64,0.64,0.18,0.18,0.82",28,0.00,0.33,"Sitelinks, Image, Image pack, Video, Short videos, Recipes, Related searches",105
pinoy vegetables recipe,Informational,50,"0.00,1.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",26,0.00,0.01,"Sitelinks, Image, Video, Video carousel, Short videos, People also ask, Recipes, Related searches",109
street food recipes philippines,Informational,50,"0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.42,1.00",27,0.00,0.33,"Sitelinks, AI Overview, Image, Video, Video carousel, Recipes, Related searches",95
traditional filipino christmas foods,Informational,50,"0.00,0.00,0.00,0.00,0.00,0.00,0.14,1.00,0.00,0.00,0.00,0.00",27,0.00,0.33,"Featured snippet, Sitelinks, Image, Image pack, Video, Video carousel, Short videos, People also ask, Related searches",113
traditional filipino food christmas,Informational,50,"0.10,0.10,0.05,0.10,0.15,0.25,1.00,0.05,0.10,0.05,0.05,0.10",22,0.00,0.33,"Sitelinks, AI Overview, Image, Video, Video carousel, Short videos, People also ask, Recipes, Discussions and forums, Related searches",109
traditional filipino food for christmas,Informational,50,"0.00,0.00,0.00,0.00,0.00,0.00,0.15,1.00,0.00,0.00,0.00,0.00",20,0.00,0.33,"Sitelinks, AI Overview, Image, Video, Video carousel, Short videos, People also ask, Recipes, Discussions and forums, Related searches",106
traditional filipino food on christmas,Informational,50,"0.12,0.12,0.08,0.12,0.15,0.27,1.00,0.08,0.12,0.08,0.08,0.12",21,1.18,0.01,"Sitelinks, AI Overview, Image, Video, Video carousel, Short videos, People also ask, Discussions and forums, Related searches",116
indonesian recipes,Informational,1000,"0.56,1.00,0.77,0.77,0.77,0.56,1.00,0.77,0.77,1.00,0.68,0.68",19,0.10,0.04,"AI Overview, Image, Image pack, Video, People also ask, Recipes, Related searches",129
indonesian dishes recipes,Informational,880,"0.45,1.00,0.76,0.08,0.55,0.45,1.00,0.76,0.76,1.00,0.55,0.67",13,0.00,0.33,"AI Overview, Image, Video, Video carousel, People also ask, Recipes, Related searches",131
indonesian food recipes,Informational,720,"0.88,0.72,0.59,1.00,0.59,0.59,0.88,0.88,0.88,0.59,0.72,0.59",14,0.10,0.04,"Image, Video, People also ask, Recipes, Related searches",125
indonesian meals recipes,Informational,590,"0.45,1.00,0.76,0.08,0.55,0.45,1.00,0.00,0.00,1.00,0.00,0.67",17,0.10,0.04,"Video, Video carousel, People also ask, Recipes, Related searches",129
recipes indonesia,Informational,480,"0.45,1.00,0.76,0.08,0.16,0.45,1.00,0.00,0.00,0.08,0.00,0.08",10,0.00,0.33,"AI Overview, Video, Video carousel, People also ask, Recipes, Related searches",130
indonesia traditional food,Informational,390,"1.00,0.28,0.54,0.54,0.66,1.00,0.54,0.35,0.35,0.44,0.81,0.81",24,0.01,0.02,"AI Overview, Image, Video, Video carousel, People also ask, Related searches",120
indonesian cuisine recipes,Informational,390,"0.44,0.66,0.81,0.44,0.54,0.29,1.00,0.66,0.66,0.81,0.36,0.54",8,0.10,0.04,"AI Overview, Image, Video, Video carousel, People also ask, Recipes, Related searches",15700000
traditional dishes of indonesia,Informational,320,"0.15,1.00,0.36,0.15,0.15,0.36,0.67,0.54,0.00,0.36,0.36,0.00",27,0.01,0.02,"AI Overview, Video, Video carousel, Short videos, People also ask, Related searches",117
indonesian recipe,Informational,260,"0.43,0.82,0.82,1.00,0.82,0.28,0.82,0.66,0.82,0.66,0.53,0.53",6,0.10,0.04,"AI Overview, Image, Video, Recipes, Related searches",72600000
indonesian traditional cuisine,Informational,260,"0.15,1.00,0.36,0.15,0.15,0.36,0.67,0.54,0.00,0.36,0.36,0.00",29,0.01,0.02,"AI Overview, Image, Video, Video carousel, People also ask, Related searches",74000000
indonesian food traditions,"Informational, Commercial",210,"0.54,0.44,0.11,0.23,0.54,1.00,0.05,0.01,0.54,0.54,0.00,0.00",21,0.01,0.02,"Sitelinks, Video, Video carousel, People also ask, Related searches",118
lebaran traditional delicacy,Informational,170,"0.00,0.00,1.00,0.02,0.01,0.01,0.01,0.00,0.01,0.01,0.01,0.01",20,0.00,0.00,"AI Overview, Video, People also ask, Related searches",92
easy indonesian recipes,Informational,140,"1.00,0.65,0.52,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.52,0.65",8,0.00,0.02,"AI Overview, Image, Video, Video carousel, Recipes, Related searches",118
recipes from indonesia,Informational,140,"0.82,0.34,1.00,0.43,0.52,0.52,0.66,0.52,0.00,0.52,0.00,0.43",8,0.00,0.33,"AI Overview, Video, Video carousel, People also ask, Recipes, Related searches",132
indonesian food recipes desserts,Informational,110,"0.33,0.33,0.42,0.33,0.33,0.80,1.00,0.66,0.42,0.33,0.33,0.33",18,0.00,0.33,"Sitelinks, Video, Video carousel, Recipes, Related searches",68
traditional indonesian dishes,"Informational, Commercial",110,"0.33,1.00,0.65,0.26,0.54,0.54,0.41,0.26,0.41,0.19,0.19,0.41",22,0.09,0.01,"AI Overview, Image, Video, Video carousel, Short videos, People also ask, Related searches",174
bali recipes,Informational,90,"0.64,0.64,0.28,0.64,1.00,0.50,0.64,0.64,0.50,0.35,0.35,0.35",18,0.00,0.01,"AI Overview, Image, Video, People also ask, Recipes, Related searches",25400000
balinese recipes,Informational,90,"0.65,0.65,0.53,0.65,1.00,0.41,0.53,0.53,0.53,0.29,0.29,0.29",16,0.00,0.01,"Sitelinks, AI Overview, Image, Image pack, Video, Video carousel, People also ask, Recipes, Related searches",115
easy indonesian dishes,Informational,90,"0.79,1.00,0.49,0.49,0.64,0.64,0.79,0.49,0.36,0.36,0.36,0.28",15,0.00,0.06,"Sitelinks, AI Overview, Image, Video, Video carousel, People also ask, Recipes, Related searches",16900000
easy indonesian food,Informational,90,"1.00,0.36,0.64,0.49,0.64,0.64,0.79,0.49,0.64,0.36,0.49,0.64",18,0.00,0.02,"AI Overview, Image, Video, Video carousel, People also ask, Recipes, Related searches",116
easy indonesian food recipes,Informational,90,"1.00,0.50,0.50,0.64,0.64,0.78,1.00,0.78,0.78,0.50,0.78,1.00",8,0.00,0.02,"AI Overview, Image, Video, Video carousel, Recipes, Related searches",121
indonesian easy recipes,Informational,90,"0.64,1.00,0.50,0.50,0.64,0.64,0.78,1.00,0.78,0.78,0.50,0.78",4,0.00,0.02,"Sitelinks, AI Overview, Reviews, Image, Video, Video carousel, Recipes, Related searches",131
indonesian food recipes easy,Informational,90,"1.00,0.64,0.82,0.64,0.82,1.00,0.82,0.82,0.64,0.45,0.64,0.82",9,0.00,0.06,"AI Overview, Image, Video, Video carousel, Recipes, Related searches",124
recipe indonesian food,Informational,90,"0.00,0.00,0.01,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00",5,0.00,0.33,"AI Overview, Video, Video carousel, People also ask, Recipes, Related searches",130
simple indonesian recipes,Informational,90,"0.64,1.00,0.50,0.50,0.64,0.64,1.00,1.00,0.78,0.78,0.50,0.78",9,0.00,0.06,"AI Overview, Image, Video, Video carousel, People also ask, Recipes, Related searches",122
simple recipe indonesian food,Informational,90,"1.00,0.50,0.50,0.64,0.64,0.78,1.00,0.78,0.78,0.50,0.78,1.00",12,0.00,0.02,"AI Overview, Video, Video carousel, People also ask, Recipes, Related searches",121
traditional indonesian,Informational,90,"0.14,1.00,0.08,0.06,0.04,0.10,0.14,0.10,0.18,0.04,0.02,0.10",25,0.00,0.00,"Sitelinks, AI Overview, Image, Image pack, Video, Video carousel, People also ask, Related searches",391000000
bali cuisine recipes,Informational,70,"0.50,1.00,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.35,0.35,0.35",18,0.00,0.01,"Sitelinks, AI Overview, Image, Video, Video carousel, People also ask, Recipes, Related searches",117
balinese cuisine recipes,Informational,70,"0.50,1.00,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.35,0.35,0.35",18,0.00,0.01,"Sitelinks, Image, Video, Short videos, People also ask, Recipes, Related searches",826000
