Keyword,Intent,Volume,Trend,Keyword Difficulty,CPC (USD),Competitive Density,SERP Features,Number of Results
cowboy butter recipe,Informational,18100,"0.81,0.66,0.66,0.66,0.66,0.66,0.54,1.00,0.66,0.66,0.54,0.54",17,0.04,0.07,"Sitelinks, Reviews, Video, Short videos, People also ask, Recipes, Related searches",106
delicata squash recipes,Informational,18100,"0.03,0.04,0.05,0.13,0.54,1.00,0.81,0.36,0.29,0.10,0.08,0.04",28,0.03,0.14,"Sitelinks, AI Overview, Reviews, Video, Short videos, People also ask, Recipes, Related searches",109
drop biscuit recipe,Informational,18100,"0.44,0.44,0.44,0.54,0.54,0.66,0.81,0.81,1.00,0.54,0.54,0.54",25,0.11,0.02,"Sitelinks, Reviews, Image, Video, Short videos, People also ask, Recipes, Related searches",107
fire cider recipe,Informational,18100,"0.10,0.08,0.10,0.44,0.81,0.81,0.81,1.00,0.81,0.36,0.24,0.13",8,0.06,0.08,"Sitelinks, AI Overview, Reviews, Video, Short videos, People also ask, Recipes, Related searches",120
grow a garden cooking recipes,Informational,18100,"0.00,0.00,0.00,1.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00",27,0.00,0.33,"Sitelinks, AI Overview, Video, Video carousel, Related searches",191
leftover ham recipes,Informational,18100,"0.14,0.07,0.07,0.05,0.07,0.07,0.36,1.00,0.36,0.09,0.14,1.00",26,0.05,0.52,"AI Overview, Reviews, Video, Short videos, People also ask, Recipes, Related searches",121
lemon drop drink recipe,Informational,18100,"0.12,0.67,1.00,0.36,0.67,0.25,0.81,0.67,0.54,0.67,0.00,0.36",24,0.15,0.15,"AI Overview, Reviews, Video, Video carousel, People also ask, Recipes, Related searches",129
marshmallow recipe,Informational,18100,"0.24,0.24,0.29,0.20,0.20,0.29,0.44,1.00,0.36,0.24,0.20,0.24",27,0.08,0.07,"Sitelinks, AI Overview, Reviews, Video, Video carousel, Short videos, People also ask, Recipes, Related searches",105
oobleck recipe,Informational,18100,"1.00,1.00,1.00,0.81,0.81,0.81,0.66,0.66,0.81,0.66,1.00,0.81",24,0.27,0.06,"AI Overview, Reviews, Video, Video carousel, Short videos, People also ask, Recipes, Related searches",107
pork fried rice recipe,Informational,18100,"0.81,0.67,0.67,0.81,0.81,0.81,0.81,0.81,1.00,0.81,0.81,0.81",29,0.10,0.11,"Reviews, Video, Video carousel, Short videos, People also ask, Recipes, Related searches",104
snow cream recipe,Informational,18100,"0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.09,1.00,0.30,0.00,0.00",28,0.16,0.01,"AI Overview, Video, People also ask, Recipes, Related searches",107
spritz cookie recipe,Informational,18100,"0.01,0.01,0.01,0.01,0.01,0.02,0.10,1.00,0.04,0.02,0.02,0.01",27,0.03,0.08,"Sitelinks, Video, People also ask, Recipes, Related searches",107
wendy's chili recipe,Informational,18100,"0.20,0.12,0.12,0.25,0.54,1.00,0.81,0.81,0.67,0.30,0.20,0.16",24,0.08,0.08,"Sitelinks, Video, Video carousel, Short videos, People also ask, Recipes",106
acana classics dry dog food salmon & barley recipe,Informational,14800,"0.24,1.00",17,0.00,0.00,"Sitelinks, AI Overview, Reviews, People also ask, Related searches",124
apple sauce recipe,Informational,14800,"0.12,0.10,0.12,0.30,0.81,1.00,0.54,0.36,0.30,0.20,0.16,0.16",25,0.02,0.05,"Reviews, Video, Video carousel, Short videos, People also ask, Recipes, Related searches",103
bacon jam recipe,Informational,14800,"1.00,0.83,0.83,1.00,0.83,0.69,1.00,1.00,0.83,0.69,0.83,0.83",25,0.02,0.12,"Sitelinks, Reviews, Video, Short videos, People also ask, Recipes, Related searches",104
bariatric gelatin recipe for weight loss,Informational,14800,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.66,1.00,0.81,0.66",24,0.61,0.44,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Recipes, Related searches",103
beef tips recipe,Informational,14800,"0.82,1.00,0.67,0.82,0.82,0.82,1.00,0.82,1.00,0.82,0.82,0.82",29,0.11,0.04,"Reviews, Video, Short videos, People also ask, Recipes, Related searches",102
beet recipes,Informational,14800,"0.36,0.44,0.83,0.54,0.54,0.67,0.67,0.67,1.00,0.44,0.44,0.36",18,0.04,0.15,"AI Overview, Image, Video, Short videos, People also ask, Recipes, Related searches",135
butter cookie recipe,Informational,14800,"0.10,0.10,0.13,0.10,0.13,0.16,0.29,1.00,0.24,0.16,0.13,0.16",20,0.14,0.06,"Reviews, Video, Video carousel, Short videos, People also ask, Recipes, Related searches",109
carajillo recipe,Informational,14800,"0.66,0.54,0.54,0.54,0.54,0.54,0.81,1.00,0.66,0.66,0.81,0.81",23,0.22,0.07,"Sitelinks, AI Overview, Reviews, Video, Video carousel, Short videos, People also ask, Recipes, Related searches",129
chex mix recipe oven,Informational,14800,"0.00,0.00,0.01,0.01,0.01,0.04,0.30,1.00,0.13,0.06,0.04,0.03",28,0.02,0.18,"Reviews, Video, People also ask, Recipes",102
chick fil a sauce recipe,Informational,14800,"0.81,0.81,0.81,0.81,0.67,0.67,0.67,0.67,1.00,0.81,0.81,0.81",28,0.01,0.21,"Reviews, Video, Short videos, People also ask, Recipes, Related searches",102
chicken gravy recipe,Informational,14800,"0.36,0.36,0.36,0.44,0.44,0.67,1.00,0.54,0.54,0.44,0.36,0.44",26,0.10,0.04,"Sitelinks, Reviews, Video, Video carousel, Short videos, People also ask, Recipes, Related searches",105
chicken parm recipe,Informational,14800,"0.44,1.00,0.56,0.67,0.81,0.56,0.56,0.67,0.67,0.56,0.81,1.00",28,0.14,0.27,"Sitelinks, Reviews, Video, Video carousel, People also ask, Recipes, Related searches",109
classic chili recipe,Informational,14800,"0.16,0.13,0.13,0.19,0.44,1.00,0.81,0.81,1.00,0.54,0.29,0.24",25,0.10,0.08,"Sitelinks, Reviews, Video, Short videos, People also ask, Recipes, Related searches",100
cuban sandwich recipe,Informational,14800,"0.66,1.00,1.00,0.81,0.66,0.81,0.54,0.66,1.00,1.00,0.81,0.66",25,0.02,0.07,"Sitelinks, AI Overview, Reviews, Video, Video carousel, People also ask, Related searches",105
dirty soda recipes,Informational,14800,"0.36,0.36,0.44,0.36,0.36,0.29,0.44,0.44,0.36,0.44,0.54,1.00",16,0.34,0.21,"Sitelinks, AI Overview, Reviews, Image, Image pack, Video, Video carousel, Short videos, People also ask, Recipes, Related searches",102
egg noodle recipes,Informational,14800,"0.36,0.44,0.44,0.54,0.67,0.81,1.00,0.81,1.00,0.67,0.67,0.54",20,0.11,0.07,"Sitelinks, Reviews, Image, Video, Video carousel, Short videos, People also ask, Recipes, Related searches",108
german pancake recipe,Informational,14800,"0.54,0.54,0.67,0.67,0.54,0.67,1.00,1.00,1.00,0.67,0.81,0.81",29,0.18,0.02,"Video, Video carousel, Short videos, People also ask, Recipes, Related searches",107
green juice recipe,Informational,14800,"1.00,1.00,0.82,0.82,0.67,0.55,0.55,0.55,1.00,0.67,0.67,0.82",28,0.12,0.24,"AI Overview, Reviews, Video, Short videos, People also ask, Recipes, Related searches",107
hot cakes recipe simple,Informational,14800,"0.00,0.00,0.00,0.01,0.20,0.07,0.30,0.54,1.00,0.00,0.36,0.24",26,0.03,0.20,"Sitelinks, AI Overview, Video, Video carousel, Short videos, People also ask, Recipes, Related searches",101
italian beef recipe,Informational,14800,"0.54,0.54,0.54,0.67,0.67,0.67,0.67,1.00,0.81,0.67,0.54,0.44",28,0.12,0.03,"Reviews, Video, Short videos, People also ask, Recipes, Related searches",107
m&m cookie recipe,Informational,14800,"0.13,0.16,0.13,0.16,0.13,0.16,0.29,1.00,0.24,0.24,0.20,0.20",27,0.16,0.02,"Sitelinks, Reviews, Image, Video, Video carousel, Short videos, People also ask, Recipes, Related searches",107
mochi recipe,Informational,14800,"0.44,0.44,1.00,0.36,0.44,0.44,0.44,0.54,0.54,0.54,0.44,0.44",25,0.05,0.33,"Sitelinks, AI Overview, Video, Short videos, People also ask, Recipes, Related searches",108
ninja slushie recipes,Informational,14800,"0.36,0.54,0.44,0.29,0.20,0.20,0.29,1.00,0.36,0.16,0.24,0.36",25,0.53,0.13,"Sitelinks, AI Overview, Video, Video carousel, Short videos, People also ask, Recipes, Related searches",98
observer recipe,Informational,14800,"0.81,0.54,0.44,0.29,0.29,0.54,0.54,1.00,0.66,0.66,0.66,0.44",29,0.00,0.33,"Sitelinks, AI Overview, Image, Image pack, Video, Video carousel, Short videos, Related searches",104
peking duck recipe,Informational,14800,"0.36,0.81,0.66,0.36,0.29,0.66,1.00,1.00,0.29,0.36,0.16,0.44",19,0.12,0.33,"Sitelinks, Video, Video carousel, People also ask, Recipes, Related searches",106
pisco sour recipe,Informational,14800,"1.00,0.66,0.44,0.29,0.29,0.54,0.54,0.36,0.54,0.54,0.44,0.54",29,0.02,0.02,"AI Overview, Reviews, Video, Video carousel, People also ask, Related searches",104
red curry recipe,Informational,14800,"0.54,0.54,0.66,0.54,0.54,0.66,0.66,0.66,0.81,0.66,1.00,0.66",21,0.05,0.01,"Sitelinks, Reviews, Video, Video carousel, Short videos, People also ask, Recipes, Related searches",105
red snapper recipe,Informational,14800,"1.00,0.66,0.66,0.66,0.44,0.66,0.81,0.66,0.66,0.44,0.66,0.66",23,0.15,0.02,"Reviews, Video, Video carousel, Short videos, People also ask, Recipes, Related searches",109
red snapper recipes,Informational,14800,"0.67,1.00,0.81,0.67,0.54,0.81,0.81,0.81,0.54,0.54,1.00,1.00",26,0.15,0.02,"Reviews, Image, Video, Short videos, People also ask, Recipes, Related searches",103
sazerac recipe,Informational,14800,"0.81,0.66,0.81,0.66,0.81,0.66,0.81,0.81,0.81,0.66,0.54,1.00",28,0.20,0.10,"Sitelinks, AI Overview, Reviews, Video, Short videos, People also ask, Related searches",130
smoked sausage recipes,Informational,14800,"0.81,1.00,1.00,0.81,0.81,0.81,0.81,0.67,1.00,0.81,1.00,1.00",28,0.17,0.09,"AI Overview, Video, Video carousel, Short videos, People also ask, Recipes, Related searches",126
soft pretzel recipe,Informational,14800,"0.44,0.44,0.36,0.44,0.54,0.54,0.54,0.67,1.00,1.00,0.54,0.54",25,0.03,0.06,"Reviews, Video, Short videos, People also ask, Recipes, Related searches",106
spicy mayo recipe,Informational,14800,"0.81,0.81,1.00,0.81,0.81,0.67,0.81,0.81,1.00,0.81,0.81,0.81",28,0.07,0.01,"Sitelinks, Reviews, Video, Short videos, People also ask, Recipes, Related searches",104
starbucks egg bites recipe,Informational,14800,"0.66,0.66,0.81,0.66,1.00,0.66,0.66,0.54,1.00,0.66,0.66,0.66",27,0.08,0.05,"Reviews, Video, Short videos, People also ask, Recipes, Related searches",105
swordfish recipe,Informational,14800,"0.67,0.82,0.82,1.00,1.00,0.82,0.67,0.55,0.67,0.67,0.67,0.67",29,0.12,0.03,"Sitelinks, AI Overview, Reviews, Video, Video carousel, Short videos, People also ask, Recipes, Related searches",107
taco meat recipe,Informational,14800,"1.00,1.00,1.00,1.00,0.81,0.81,0.81,0.81,1.00,1.00,1.00,0.81",26,0.11,0.04,"Sitelinks, Reviews, Video, Video carousel, People also ask, Recipes, Related searches",103
thai tea recipe,Informational,14800,"0.82,1.00,0.82,0.82,0.82,0.67,0.55,0.67,0.82,0.67,0.67,0.67",23,0.09,0.09,"Sitelinks, Reviews, Video, Short videos, People also ask, Recipes, Related searches",163
tomato bisque recipe,Informational,14800,"0.30,0.30,0.30,0.54,0.67,1.00,0.81,0.81,1.00,0.67,0.54,0.36",27,0.13,0.05,"Sitelinks, Reviews, Video, Video carousel, Short videos, People also ask, Recipes, Related searches",106
